Holiday,Temperature,Rainfall_last_hour,Snowfall_last_hour,Cloud_Cover,Weather,Weather_Desc,TimeStamp,Date,Traffic_Vol
,289.28,0,0,40,Cloudy skies,Partly cloudy skies,02/10/08 9:00,02/10/08,5555
,290.26,0,0,75,Cloudy skies,Fragmented clouds,02/10/08 10:00,02/10/08,4525
,290.28,0,0,90,Cloudy skies,Full cloud cover,02/10/08 11:00,02/10/08,4772
,290.33,0,0,90,Cloudy skies,Full cloud cover,02/10/08 12:00,02/10/08,5031
,292.14,0,0,75,Cloudy skies,Fragmented clouds,02/10/08 13:00,02/10/08,4928
,292.72,0,0,1,Clear skies,Clear skies,02/10/08 14:00,02/10/08,5190
,293.37,0,0,1,Clear skies,Clear skies,02/10/08 15:00,02/10/08,5587
,294.16,0,0,1,Clear skies,Clear skies,02/10/08 16:00,02/10/08,6025
,294.84,0,0,20,Cloudy skies,Scattered clouds,02/10/08 17:00,02/10/08,5796
,293.7,0,0,20,Cloudy skies,Scattered clouds,02/10/08 18:00,02/10/08,4773
,291.67,0,0,21,Cloudy skies,Scattered clouds,02/10/08 19:00,02/10/08,3545
,289.98,0,0,2,Clear skies,Clear skies,02/10/08 20:00,02/10/08,2790
,289.51,0,0,2,Clear skies,Clear skies,02/10/08 21:00,02/10/08,2366
,287.56,0,0,2,Clear skies,Clear skies,02/10/08 22:00,02/10/08,1535
,286.05,0,0,1,Clear skies,Clear skies,02/10/08 23:00,02/10/08,972
,284.73,0,0,1,Clear skies,Clear skies,03/10/08 0:00,03/10/08,507
,284.17,0,0,1,Clear skies,Clear skies,03/10/08 1:00,03/10/08,322
,282.08,0,0,1,Clear skies,Clear skies,03/10/08 2:00,03/10/08,280
,281.99,0,0,2,Clear skies,Clear skies,03/10/08 3:00,03/10/08,372
,279.73,0,0,1,Clear skies,Clear skies,03/10/08 4:00,03/10/08,817
,279.52,0,0,1,Clear skies,Clear skies,03/10/08 5:00,03/10/08,2720
,279.03,0,0,2,Clear skies,Clear skies,03/10/08 6:00,03/10/08,5682
,278.62,0,0,1,Clear skies,Clear skies,03/10/08 8:00,03/10/08,6514
,282.68,0,0,2,Clear skies,Clear skies,03/10/08 9:00,03/10/08,5475
,292.17,0,0,1,Clear skies,Clear skies,03/10/08 12:00,03/10/08,5107
,293.43,0,0,1,Clear skies,Clear skies,03/10/08 13:00,03/10/08,4890
,294.81,0,0,1,Clear skies,Clear skies,03/10/08 14:00,03/10/08,5343
,295.57,0,0,1,Clear skies,Clear skies,03/10/08 15:00,03/10/08,5693
,295.63,0,0,2,Clear skies,Clear skies,03/10/08 16:00,03/10/08,6140
,293.76,0,0,20,Cloudy skies,Scattered clouds,03/10/08 18:00,03/10/08,4630
,290.95,0,0,20,Cloudy skies,Scattered clouds,03/10/08 19:00,03/10/08,3595
